bib number,age,gender,split time (s),final time (s)
43908,35,M,4651,9473
23428,40,M,4581,9474
15735,37,M,4210,9476
22005,34,M,4788,9480
16724,32,M,4530,9481
21346,35,M,4743,9482
23272,38,M,4648,9492
15151,32,M,4339,9502
33532,40,M,4661,9509
38395,26,M,4574,9532
35936,31,M,4662,9534
28975,22,M,4744,9535
49291,46,M,4493,9539
37145,26,M,4410,9544
35227,29,M,4833,9547
30444,28,M,4668,9548
38608,32,M,4650,9552
40860,31,W,4628,9555
10742,33,M,4614,9559
21385,27,M,4763,9561
39503,22,M,4645,9569
27966,30,M,4607,9576
38513,37,M,4540,9584
36932,26,M,4447,9590
23469,40,M,4704,9591
24950,44,M,4619,9592
26354,23,M,4726,9596
17642,40,M,4678,9599
44220,23,M,4695,9599
33080,40,M,4768,9601
37325,46,M,4509,9603
31653,32,M,4664,9604
44020,28,M,4862,9605
42888,27,M,4777,9607
34303,40,M,4741,9609
25404,33,M,4788,9609
15250,40,M,4667,9611
39946,23,W,4825,9612
46529,38,M,4793,9615
15591,35,M,4730,9626
33804,30,M,4732,9631
40766,33,M,4715,9632
41794,26,M,4562,9641
37039,24,M,4715,9647
48133,53,M,4511,9649
11057,37,M,4677,9651
42022,34,M,4662,9653
41365,31,M,4677,9656
24023,42,M,4809,9660
40142,41,M,4788,9676
18108,35,W,4699,9676
23488,44,M,4752,9677
46964,33,M,4497,9677
37731,36,M,4719,9685
21505,44,M,4774,9686
40729,34,M,4727,9692
40858,39,M,4484,9693
24591,30,M,4708,9696
14801,40,M,4695,9719
49499,32,M,4649,9721
48518,18,W,4683,9726
25189,40,M,4668,9726
29837,25,M,4740,9728
48681,31,M,4520,9730
33884,44,M,4787,9730
28642,34,M,4832,9734
42422,42,M,4728,9734
29702,27,M,4669,9735
22447,36,M,4806,9739
36676,27,W,4939,9743
43237,27,M,4669,9747
18417,27,M,4938,9747
21238,40,M,4840,9753
26654,35,M,4804,9754
32644,35,M,4686,9755
44707,32,M,5119,9755
44252,25,M,4804,9756
12667,38,M,4584,9757
14678,24,M,4581,9758
43539,29,M,4831,9759
14571,30,M,4689,9761
20412,27,M,4790,9762
41770,25,M,4850,9762
39647,40,M,4722,9764
21461,36,M,4885,9766
35993,33,M,4910,9768
49884,38,M,4753,9770
26996,38,M,4633,9771
35220,41,M,4796,9774
43309,29,M,4818,9780
22935,57,M,4745,9786
37910,44,M,4823,9797
20721,27,M,4519,9798
32702,52,M,4844,9805
33026,44,M,4841,9810
14073,40,M,4831,9810
14170,36,M,4803,9812
15674,32,M,4834,9814
22362,33,M,4730,9814
15031,27,W,4863,9816
49943,52,M,4766,9817
20310,30,M,4717,9818
46389,33,W,4731,9820
44419,41,M,4747,9820
20925,29,M,4788,9821
25363,35,M,4757,9821
19385,27,M,4702,9823
28132,29,W,4848,9823
44270,45,M,4683,9828
23226,32,M,4825,9829
31851,49,M,4802,9835
30120,34,M,4782,9837
16339,31,M,4656,9843
38684,39,M,4737,9846
10443,28,M,4721,9850
39641,24,M,4741,9850
38655,50,M,4793,9853
39886,25,M,4828,9856
37063,30,M,4640,9856
42680,33,M,4695,9861
33704,29,M,4891,9862
18941,48,M,4796,9863
14478,24,M,4531,9869
25131,28,M,4745,9874
15699,34,M,4710,9876
38013,24,M,4809,9884
36639,42,M,4831,9887
34324,24,M,4729,9888
28421,33,M,4862,9891
16918,24,M,4844,9896
41245,44,M,4966,9900
35326,32,M,4696,9902
18065,30,W,4855,9902
42841,37,M,4688,9904
46689,32,M,4724,9908
27170,31,M,5024,9913
22910,45,M,4873,9914
17519,27,M,4688,9919
11608,27,M,4942,9923
13778,27,M,4706,9924
34421,25,M,4681,9925
14966,49,M,4834,9925
34224,37,M,4776,9927
46577,39,M,4969,9928
33194,31,M,4790,9935
36949,32,M,4815,9936
36296,40,M,4747,9941
31044,31,M,4727,9941
44818,35,M,4856,9942
39575,36,M,4925,9945
11822,39,M,4957,9946
39973,34,M,4808,9950
35383,41,M,4812,9954
16754,22,M,4558,9954
31145,39,M,4840,9956
19334,43,M,4691,9956
12189,31,M,4920,9957
26347,32,M,4520,9958
16117,38,M,4770,9959
19682,28,M,4814,9960
26393,31,M,4903,9960
36305,29,M,4547,9960
28976,39,M,4756,9972
24149,36,M,4661,9973
13556,31,M,4834,9980
21664,33,M,4873,9980
16390,36,M,4967,9986
46925,41,M,4903,9994
15285,43,M,4814,9996
46681,35,M,4838,9998
25704,39,W,4860,10006
19559,32,M,4657,10007
40389,23,M,4420,10007
24955,30,W,4889,10008
47017,31,M,5023,10008
25836,23,W,4848,10010
45465,49,M,4937,10011
45351,36,M,4915,10011
34759,41,M,4714,10012
13494,42,M,4903,10020
17126,38,M,4943,10020
11179,38,M,5043,10026
43889,32,M,4661,10034
39834,27,M,4900,10036
47186,46,M,4830,10042
17676,41,M,4489,10042
38159,39,M,4960,10045
14410,40,M,4761,10045
40541,30,M,4896,10048
35613,25,M,4823,10048
46975,28,M,5004,10051
13060,27,M,4930,10053
47341,27,M,4492,10054
12854,37,M,4920,10056
46026,45,M,4972,10057
22575,41,M,4923,10057
35012,37,M,4688,10057
13519,29,M,4890,10059
45192,35,M,4941,10060
45994,40,M,4831,10062
20603,37,M,4732,10064
14521,39,W,4853,10065
42580,44,M,5017,10068
12930,37,M,4759,10069
33098,26,M,5049,10070
13677,44,M,5137,10071
20211,33,M,4843,10071
42926,31,M,4988,10072
17384,26,M,5091,10079
45327,37,M,4888,10082
45148,47,M,5007,10083
20741,29,M,4880,10086
22206,45,M,4988,10087
30028,40,M,4910,10088
36522,26,M,4917,10089
34757,29,M,4743,10090
44879,47,M,5004,10091
16907,32,M,4937,10098
13791,40,M,4939,10098
34286,40,M,4918,10098
17454,39,M,4798,10100
43632,28,M,5002,10101
31523,34,M,4656,10104
11940,38,M,4860,10106
21183,33,M,4837,10106
29785,56,M,4873,10110
37621,44,M,4930,10111
25625,31,M,4475,10111
36531,34,M,5135,10114
39429,43,M,5052,10117
29438,24,M,4869,10122
16920,36,M,4946,10124
47615,26,M,4629,10125
17358,45,M,5097,10127
49304,45,M,5014,10128
45577,25,M,5144,10136
44714,28,M,4718,10138
47956,35,M,5040,10138
47107,35,M,4970,10140
12387,38,M,4549,10140
34343,24,M,4955,10142
25785,37,M,4923,10142
41564,40,M,4958,10142
38937,36,M,4826,10143
11831,40,M,4977,10147
10465,34,M,5014,10149
44821,30,M,5039,10150
17484,33,M,5009,10150
29512,41,M,4742,10152
29448,44,M,4861,10153
41274,57,M,4917,10156
35951,36,M,4907,10160
14413,27,M,4951,10163
24504,30,M,4814,10167
29930,28,W,4932,10169
47844,48,M,4976,10169
34930,37,M,4623,10171
26691,45,M,4947,10171
42804,21,M,5020,10174
40208,32,M,4942,10174
27037,49,M,4920,10176
21108,27,M,5072,10176
36080,22,M,4835,10177
35890,28,M,4936,10180
33715,25,W,4680,10181
30173,40,M,5003,10186
14650,43,M,4901,10188
27851,52,M,4985,10189
15272,23,M,4555,10190
34549,41,M,4774,10191
13915,41,M,5045,10191
15087,51,M,5027,10198
40950,37,M,5062,10198
20273,34,M,4927,10198
31644,47,M,5090,10204
36661,49,M,4920,10206
45171,41,M,5016,10208
45664,37,M,4790,10209
25607,38,M,4859,10210
39630,30,M,4966,10211
47731,43,M,4890,10214
49428,46,M,5040,10214
33136,42,M,4884,10216
29546,37,M,4707,10217
43893,51,M,5050,10219
16514,37,M,4866,10220
47255,24,M,5032,10221
15666,49,M,4970,10222
16995,38,W,5066,10223
31018,36,M,5135,10224
43284,32,M,5001,10226
44237,43,M,4978,10228
41648,38,M,4986,10229
14664,27,M,4695,10229
41428,42,M,4941,10229
30795,48,M,4945,10229
20018,23,M,4631,10230
18003,38,M,5120,10232
14531,29,M,5023,10232
36723,32,M,4736,10236
45891,29,M,4517,10240
45451,40,M,4908,10247
48789,49,M,5089,10248
15934,26,M,4981,10250
15113,24,M,4840,10253
43794,34,W,5053,10253
40822,34,M,4787,10255
11899,40,M,5117,10257
11371,30,M,5117,10257
10703,20,M,4908,10257
20394,27,M,4865,10258
22880,38,M,4950,10260
45835,39,M,4910,10261
16742,28,M,4833,10261
34882,35,M,4824,10261
26559,39,M,5018,10261
18449,41,M,5015,10263
38234,41,M,5043,10263
44407,28,M,5074,10265
47708,31,M,5034,10268
34135,34,M,4677,10270
36407,30,M,4933,10271
13063,39,M,5071,10275
21025,26,M,5160,10276
22273,41,M,4932,10277
16507,40,M,5085,10277
37487,27,M,4835,10279
29123,37,M,4937,10279
31017,38,M,4959,10280
16778,39,M,4857,10281
46139,41,W,5058,10285
20127,52,M,4989,10286
30007,42,M,5135,10287
15966,36,M,5018,10288
26810,31,M,5106,10289
45193,42,M,5005,10289
47422,28,M,5032,10291
35069,41,M,4941,10292
30038,42,M,4909,10293
16606,36,W,4936,10294
21734,48,M,5017,10295
28879,30,M,4963,10298
21892,35,M,5032,10298
25551,34,M,4964,10300
21336,21,M,5014,10301
44194,44,M,4773,10301
46870,50,M,4944,10302
46253,40,M,5037,10302
14667,40,M,5094,10304
19376,31,M,4950,10307
40462,28,M,4981,10309
14321,38,M,5069,10311
21777,28,M,5026,10312
40175,35,M,4882,10314
35555,21,M,4804,10315
34610,28,M,4973,10317
46377,31,W,5152,10318
19006,39,M,4997,10318
41764,42,M,4776,10319
49610,34,M,5013,10319
45687,46,M,5090,10319
33064,22,W,5111,10321
32382,35,M,5140,10326
44967,44,M,5076,10327
34316,52,M,4982,10328
30915,47,M,4912,10328
34074,50,M,5090,10330
24715,43,M,4774,10334
29776,49,M,5064,10334
27631,40,M,4917,10334
20954,29,M,4914,10335
27672,33,W,5212,10338
33098,33,M,5191,10338
41161,34,M,5060,10341
43382,53,M,5023,10344
21303,27,M,5178,10345
37881,38,M,4987,10345
48743,33,M,5223,10345
19905,40,M,5096,10347
26835,25,M,5150,10347
35584,25,M,5161,10347
44984,30,M,5185,10348
18126,35,M,5054,10348
49948,29,M,4950,10351
46160,37,M,4609,10351
31945,34,M,4914,10351
43848,27,W,5105,10353
49438,33,M,5031,10354
45370,38,M,4997,10356
31238,39,M,5106,10358
34273,28,M,5021,10359
17876,43,M,5057,10363
32316,51,M,4932,10364
15998,32,W,5061,10364
37835,36,M,5099,10365
42934,44,M,5157,10366
31574,51,M,5067,10368
48534,31,M,5055,10369
24306,39,W,5110,10370
23676,39,M,4998,10371
29916,30,M,5100,10373
33547,44,M,4988,10376
10586,49,M,5072,10377
22075,37,M,4966,10380
41424,30,M,4993,10383
11682,33,M,4920,10384
29216,39,M,5061,10385
11793,40,M,5006,10386
38615,32,M,4975,10386
26313,40,M,5080,10386
37625,31,M,4971,10390
24367,25,M,4885,10392
27453,36,M,4526,10394
18867,41,M,4848,10397
17657,29,M,4943,10397
39579,38,M,5096,10401
34766,42,M,5074,10405
32304,26,M,5026,10405
41502,37,M,4965,10405
17272,42,M,4896,10406
47498,38,M,4903,10407
34809,47,M,4947,10408
43940,45,M,5016,10408
42556,35,M,5064,10409
48128,30,M,5186,10411
38886,23,M,5041,10411
35699,31,M,5221,10412
25832,41,M,5188,10415
17954,31,M,4946,10420
42588,44,M,4890,10423
30801,32,M,5069,10424
28751,46,M,5042,10425
36141,38,M,5107,10426
30753,44,M,5029,10427
25536,51,M,5136,10427
25626,32,M,5168,10428
20629,33,M,5177,10428
28621,29,W,5286,10430
40056,50,M,4963,10432
20841,45,M,5034,10432
31830,39,M,5010,10434
29799,30,M,5004,10435
35018,30,M,5252,10435
29655,30,W,5056,10439
22422,40,M,4780,10439
10952,28,M,5078,10439
16824,27,M,4723,10441
37690,33,M,4817,10442
28364,27,W,5080,10444
29651,42,M,5199,10444
11815,45,M,5112,10445
13026,39,M,5056,10446
29195,44,M,4990,10447
29338,36,M,5105,10447
21818,33,M,4963,10448
23351,44,M,5163,10449
45774,42,M,5173,10451
45093,37,M,5098,10451
26090,25,M,4973,10454
42882,25,W,5123,10458
23905,45,M,4955,10461
25877,31,M,5147,10462
34672,44,M,5041,10462
20765,34,M,5221,10464
48499,39,W,5175,10464
28227,46,M,4992,10471
42787,36,M,5189,10471
25070,39,M,5111,10471
40532,32,M,5126,10472
25603,45,M,5101,10475
23069,49,M,5194,10479
43738,39,M,5185,10480
25319,37,M,4946,10482
31030,28,M,5051,10482
34687,24,M,4995,10482
47529,39,M,5135,10485
37823,43,M,5114,10486
45432,37,M,5165,10487
44424,33,M,5212,10489
14897,35,M,5004,10490
26190,32,W,5269,10491
30342,46,M,5128,10492
46986,44,M,5092,10495
27761,39,W,5043,10495
34529,24,M,4871,10497
34066,27,M,4996,10497
15126,28,W,5168,10498
19691,41,W,5095,10502
17801,41,M,4941,10503
27353,35,M,5144,10504
19199,40,M,5055,10504
34298,34,M,5107,10504
44658,39,M,4914,10506
12862,40,M,5055,10506
25595,25,M,5262,10509
25386,51,M,5102,10512
45977,43,M,5073,10515
36905,42,M,4967,10516
23304,45,M,5012,10518
38282,29,M,4721,10518
44977,52,M,5097,10521
12641,25,W,5141,10523
26010,37,M,5009,10523
19749,25,M,5061,10523
48863,32,M,5190,10525
40719,40,M,5019,10525
27488,37,M,5130,10525
18780,29,M,5385,10525
49072,42,M,5038,10528
16824,39,M,4943,10530
32777,45,M,5176,10532
18286,40,M,5223,10532
38534,48,M,5168,10533
14466,42,M,5003,10535
29788,32,M,4948,10537
39833,30,M,5046,10538
16747,50,M,5100,10541
38316,32,W,5140,10542
36103,33,M,5195,10543
33715,49,M,5119,10543
13991,38,W,5196,10543
34558,51,M,5022,10545
24038,43,M,4953,10546
17549,30,M,5053,10548
13905,37,W,5219,10549
17085,44,M,4942,10550
40654,33,M,5060,10551
37052,52,M,5073,10554
31503,44,M,5126,10554
23252,40,M,5209,10555
29986,41,W,5065,10556
26269,25,M,4920,10557
38129,31,M,4999,10557
38176,42,M,5227,10558
35423,30,W,5222,10560
41921,45,M,5083,10561
44070,40,M,5035,10566
25293,30,M,5024,10566
22528,40,M,5236,10567
43915,42,M,5082,10567
49371,43,M,5089,10569
15608,32,M,5065,10570
38592,44,M,5212,10573
28600,34,M,5148,10573
48156,32,M,5057,10575
28624,40,M,5102,10578
49665,28,M,4854,10579
19329,27,M,5173,10581
44995,43,M,4987,10582
25791,28,M,5442,10584
40692,30,M,4827,10586
32377,42,M,4985,10587
27200,27,M,5056,10588
25777,42,M,5064,10588
17865,38,M,5256,10588
43318,39,M,5237,10589
47839,37,M,5055,10590
35716,42,M,5393,10593
28541,40,M,5168,10595
34010,41,M,5199,10595
36680,36,M,5019,10595
29510,29,W,5102,10596
29960,53,M,5107,10596
27529,42,M,5299,10596
28755,43,M,4947,10597
21854,42,M,5173,10598
34726,22,W,5162,10599
38567,41,M,5307,10599
36007,46,M,5043,10601
25094,26,M,5372,10602
28164,41,M,4949,10604
15144,26,M,5176,10605
48543,42,M,5177,10607
11707,36,M,5202,10608
41226,34,M,4998,10608
16318,49,M,5220,10609
24681,35,M,5257,10609
34798,36,M,5085,10609
15042,41,M,4958,10610
32867,38,M,5168,10610
15725,50,M,5039,10611
44703,41,M,4963,10611
22032,38,M,5142,10612
15605,28,W,5056,10613
40319,46,M,5177,10614
41358,29,M,5183,10614
18281,38,M,5234,10616
18512,44,M,5042,10616
11455,47,M,5077,10617
26913,33,M,5222,10618
23204,35,M,5017,10618
44051,42,M,5130,10619
35408,26,M,5292,10621
16466,44,M,5143,10621
48522,37,M,5247,10623
17492,38,M,5188,10623
45098,41,W,5281,10624
18299,46,M,5075,10626
33667,36,M,5259,10629
12005,25,M,4970,10630
28932,42,M,5304,10633
18528,40,M,5239,10634
44322,37,M,5094,10637
24582,28,M,5050,10639
19434,44,M,5069,10640
42923,42,M,5277,10640
25768,56,M,5173,10640
42905,33,M,5009,10641
39833,39,M,5136,10643
35993,50,M,5175,10643
42259,38,M,5408,10644
21675,42,M,5217,10645
23951,29,M,5049,10646
21682,32,M,5152,10646
19977,36,M,5216,10647
15875,32,M,5219,10647
48937,34,M,5074,10647
23986,43,M,5186,10648
23947,39,M,5115,10649
38501,42,W,5245,10649
37770,32,M,5222,10650
32072,49,M,5119,10652
38343,26,M,4844,10655
23151,40,M,5234,10655
25173,39,M,5012,10657
21354,58,M,5101,10657
45995,32,M,5320,10657
31160,47,M,5119,10658
14471,45,M,5152,10659
21285,36,M,5333,10659
37244,42,M,5326,10660
16483,47,M,5121,10660
16988,46,M,5241,10661
44516,34,W,5266,10661
10182,49,M,5277,10661
22234,45,M,4882,10662
31406,45,M,5090,10663
37503,52,M,5180,10663
35239,41,M,4995,10664
30817,32,M,5232,10665
42081,31,M,5124,10666
30775,39,M,5157,10667
21030,40,M,5135,10667
23287,35,M,5189,10667
27731,34,M,5270,10668
40591,32,M,4973,10669
31294,40,M,5178,10670
25930,37,M,5263,10671
10615,27,M,4904,10673
46885,46,M,4901,10673
22898,27,W,5148,10673
34204,42,M,5099,10675
22351,34,M,5195,10675
10021,32,M,5222,10675
49529,46,M,5338,10677
42321,25,M,5222,10679
34311,22,M,5021,10679
36257,34,M,5295,10679
44838,46,M,5219,10680
29411,31,M,5361,10680
18310,36,M,5235,10682
45944,32,W,5174,10682
36697,44,M,5190,10682
29048,41,M,5217,10683
18593,45,M,5157,10683
40500,33,M,5178,10687
27384,38,M,5069,10689
16887,31,M,5300,10689
27050,42,M,5251,10689
41728,45,M,5416,10689
22936,40,M,5075,10690
11521,41,M,5271,10690
32573,35,M,5193,10692
29116,31,M,5323,10693
12541,35,M,5234,10694
35865,35,M,5203,10695
48899,34,M,5183,10696
35951,49,M,5325,10697
36018,32,M,5195,10700
22018,33,M,5284,10701
26405,27,M,5326,10702
22079,48,M,5240,10704
46740,42,M,5352,10704
11031,30,M,5365,10706
24251,31,M,5362,10708
30711,27,M,5270,10708
39382,47,M,5014,10710
20818,46,M,5186,10712
44241,31,M,5386,10713
19359,44,M,5234,10713
38454,41,M,5276,10715
38562,34,M,5338,10716
25745,40,M,5105,10719
42346,24,M,5138,10720
25712,39,M,4985,10720
43190,40,M,5300,10721
26284,43,M,5316,10721
49400,41,M,5085,10722
49565,27,M,5191,10722
32041,30,M,4875,10723
45620,46,M,5189,10724
12998,36,M,5269,10725
18563,41,M,5260,10725
30926,36,M,5287,10725
46369,47,M,5157,10726
22688,31,M,5156,10727
26480,31,M,5319,10728
41999,37,M,5203,10729
38670,39,M,5039,10729
20012,34,M,4985,10730
21759,48,M,5255,10730
24511,42,M,5200,10730
36738,36,M,4983,10730
33784,40,M,5224,10730
32721,42,M,5397,10731
11522,33,M,5261,10731
42588,40,M,5346,10732
34526,44,M,5237,10732
41157,24,M,4978,10733
49775,38,M,5277,10734
42217,38,M,5266,10736
34798,45,M,5120,10737
24803,44,M,5277,10737
33440,20,M,5258,10738
46037,43,M,5227,10740
44128,42,M,5300,10740
42829,39,M,5163,10741
44633,45,M,5364,10741
31674,32,M,5220,10741
24663,45,M,5227,10741
47020,40,M,5309,10742
36769,25,M,5054,10742
37106,36,M,5243,10742
47780,55,M,5233,10745
33003,42,W,5071,10746
12157,27,W,5248,10748
24995,36,M,5075,10749
35567,41,M,4868,10749
12639,39,M,5078,10749
18186,43,M,5266,10750
23174,29,M,5137,10751
12040,30,W,5283,10751
23328,41,M,5168,10754
45665,33,M,5088,10755
27165,43,M,5340,10756
42053,48,M,5096,10756
35604,44,M,5123,10757
18529,46,M,5308,10757
29306,44,M,5242,10757
41783,39,M,5250,10759
31156,44,M,5282,10759
10264,30,W,5366,10759
44727,26,M,4992,10760
29515,38,M,5065,10760
10359,49,M,5154,10760
16289,29,W,5121,10761
33413,33,W,5216,10762
43162,38,M,5260,10762
43358,45,M,5137,10763
30723,29,M,5254,10763
34426,40,M,5165,10764
42462,44,M,5272,10765
43414,28,M,5356,10765
29073,38,M,5074,10767
31000,33,M,5128,10767
32366,46,M,5320,10767
14490,34,M,5405,10769
24589,35,M,5320,10770
35675,40,M,5261,10771
39953,24,M,5048,10772
30635,41,M,5467,10773
17803,35,M,5084,10773
29954,45,M,5264,10774
15379,53,M,5179,10774
10852,25,M,4818,10776
17185,28,M,5199,10776
18221,29,M,5360,10777
20556,27,M,5094,10777
14002,42,M,5346,10778
49204,46,M,4980,10779
39831,40,M,5185,10780
36285,35,M,5311,10780
29972,44,M,5239,10781
40821,32,M,5225,10781
46659,31,M,5277,10785
41349,45,M,5187,10785
33704,51,M,5280,10785
21950,39,M,5035,10788
16249,42,M,5111,10790
13408,37,M,5064,10790
43046,35,M,5248,10790
12069,32,M,5480,10790
40385,30,M,4678,10791
27566,42,M,5241,10792
11597,44,M,5220,10792
14266,43,M,5371,10793
48736,39,M,5389,10794
41699,43,M,5377,10795
12856,39,M,5191,10795
39072,50,M,5172,10796
22075,45,M,5267,10796
34268,46,M,5123,10796
38931,40,M,4975,10796
23181,53,M,5216,10797
47338,36,M,5177,10797
42140,46,M,5027,10799
36442,31,M,5332,10800
32813,30,M,5317,10801
38790,24,M,5265,10801
38902,35,M,5280,10801
37331,31,W,5108,10802
36960,45,M,4968,10802
27823,47,M,5274,10805
28498,34,M,5331,10807
34301,35,M,5258,10808
41522,30,M,5564,10809
39568,45,M,5166,10810
10344,41,M,5253,10810
34537,34,M,5148,10811
48246,35,M,5127,10811
26381,27,M,5133,10812
23710,30,M,5413,10814
41313,23,M,5210,10814
27584,38,M,5287,10815
17613,38,M,5389,10816
36411,40,M,5202,10816
49247,30,M,5086,10816
30485,54,M,5158,10818
25002,36,M,5106,10820
23270,20,M,5349,10820
31031,32,M,5308,10821
28485,38,M,4928,10822
21072,35,M,5132,10825
22346,27,M,5332,10825
46214,34,M,5391,10827
13492,39,M,4839,10828
43170,27,M,5354,10828
15209,42,M,5269,10828
10836,51,M,5164,10829
40337,41,M,5164,10829
45839,24,M,5171,10830
33898,60,M,5130,10831
20709,36,M,5233,10832
20862,42,M,5129,10834
45191,48,M,5384,10835
31293,48,M,5194,10835
39530,45,M,5271,10835
42611,36,M,5351,10836
35351,39,M,5063,10836
10298,28,M,5264,10837
10424,31,W,5159,10838
43523,39,M,5115,10839
14578,44,M,5212,10839
48235,50,M,5336,10841
31111,40,M,5453,10842
14457,41,M,5419,10842
38024,21,M,5314,10842
46894,33,M,5241,10843
33223,29,M,5184,10844
33472,33,M,5301,10845
11994,41,M,5422,10845
24156,39,M,5244,10847
32683,46,M,5408,10847
33925,32,M,5382,10849
11031,27,M,5340,10849
36850,41,M,5337,10849
40063,51,M,5366,10851
44113,44,M,5267,10851
33210,41,M,5106,10851
28493,25,M,4829,10851
16829,38,M,5032,10852
13663,30,M,5230,10853
16244,34,M,5564,10854
20682,32,M,5358,10855
10419,28,M,5310,10856
33155,37,M,5377,10856
49017,33,M,5176,10859
45695,39,M,5316,10860
11884,46,M,5218,10861
29234,30,M,5209,10863
11113,31,M,5221,10864
47686,32,M,5315,10864
46483,52,M,5137,10865
13657,55,M,5250,10865
35521,40,M,5184,10865
15679,46,M,5185,10866
14269,45,M,4965,10867
20291,48,M,5220,10867
35198,42,M,5239,10869
19899,26,M,5125,10870
25077,47,M,5057,10870
23266,51,M,5345,10871
40598,41,M,5396,10871
14490,31,M,5218,10872
23637,31,M,5008,10872
24744,27,W,5345,10875
16198,33,M,5208,10877
32350,32,M,5418,10878
41612,36,M,5367,10880
39312,38,M,5429,10880
27596,30,M,5551,10881
34112,33,M,5297,10883
31918,35,M,5350,10883
42891,31,M,5272,10885
13971,45,M,5306,10886
26054,36,M,5388,10889
29606,39,M,5075,10892
23886,41,M,5273,10893
48291,42,M,5426,10894
36472,29,M,5403,10899
10130,39,M,5293,10899
48254,25,M,5435,10904
26574,42,M,5097,10904
15916,39,M,5245,10904
